"symbol";"sector"
"SPSC";"Information Technology"
"ENSG";"Health Care"
"RMBS";"Information Technology"
"ASO";"Consumer Discretionary"
"AIT";"Industrials"
"ATI";"Materials"
"FIX";"Industrials"
"ABG";"Consumer Discretionary"
"ELF";"Consumer Staples"
"MMSI";"Health Care"
"MTH";"Consumer Discretionary"
"AJRD";"Industrials"
"NSIT";"Information Technology"
"ACLS";"Information Technology"
"BCPC";"Materials"
"ONTO";"Information Technology"
"AAON";"Industrials"
"MLI";"Industrials"
"LTHM";"Materials"
"DIOD";"Information Technology"
"HP";"Energy"
"CIVI";"Energy"
"SM";"Energy"
"AMN";"Health Care"
"RDN";"Financials"
"FN";"Information Technology"
"FUL";"Materials"
"BMI";"Information Technology"
"OI";"Materials"
"EPRT";"Real Estate"
"FELE";"Industrials"
"AWR";"Utilities"
"AEIS";"Information Technology"
"CYTK";"Health Care"
"SIG";"Consumer Discretionary"
"TWNK";"Consumer Staples"
"JBT";"Industrials"
"CWT";"Utilities"
"CNMD";"Health Care"
"SANM";"Information Technology"
"AVA";"Utilities"
"AGO";"Financials"
"GPI";"Consumer Discretionary"
"HI";"Industrials"
"PBH";"Health Care"
"UCBI";"Financials"
"FSS";"Industrials"
"OTTR";"Utilities"
"WIRE";"Industrials"
"SPXC";"Industrials"
"SMPL";"Consumer Staples"
"ROG";"Information Technology"
"COOP";"Financials"
"CCOI";"Communication Services"
"GNW";"Financials"
"ABM";"Industrials"
"ACA";"Industrials"
"SEM";"Health Care"
"FWRD";"Industrials"
"INDB";"Financials"
"MOG-A";"Industrials"
"AIN";"Industrials"
"LCII";"Consumer Discretionary"
"KLIC";"Information Technology"
"AVAV";"Industrials"
"DY";"Industrials"
"KFY";"Industrials"
"KWR";"Materials"
"DV";"Information Technology"
"PLXS";"Information Technology"
"TNDM";"Health Care"
"LXP";"Real Estate"
"REZI";"Industrials"
"PTEN";"Energy"
"HUBG";"Industrials"
"IOSP";"Materials"
"CBU";"Financials"
"ITGR";"Health Care"
"VSAT";"Information Technology"
"SONO";"Consumer Discretionary"
"IBP";"Consumer Discretionary"
"IPAR";"Consumer Staples"
"FHB";"Financials"
"THS";"Consumer Staples"
"ARNC";"Materials"
"TPH";"Consumer Discretionary"
"SHOO";"Consumer Discretionary"
"BCC";"Industrials"
"AEL";"Financials"
"NOG";"Energy"
"CBRL";"Consumer Discretionary"
"UNF";"Industrials"
"SFBS";"Financials"
"AUB";"Financials"
"EXTR";"Information Technology"
"CERT";"Health Care"
"ESE";"Industrials"
"PRGS";"Information Technology"
"ITRI";"Information Technology"
"ALRM";"Information Technology"
"DORM";"Consumer Discretionary"
"WDFC";"Consumer Staples"
"PRFT";"Information Technology"
"BRC";"Industrials"
"MATX";"Industrials"
"CVCO";"Consumer Discretionary"
"OUT";"Real Estate"
"VRRM";"Industrials"
"GKOS";"Health Care"
"MTRN";"Materials"
